,,seed,seed,seed,seed,solver_calls,solver_calls,solver_calls,solver_calls,total_travel,total_travel,total_travel,total_travel,total_lateness,total_lateness,total_lateness,total_lateness,unserved,unserved,unserved,unserved,served_ratio,served_ratio,served_ratio,served_ratio,objective,objective,objective,objective,runtime_total_seconds,runtime_total_seconds,runtime_total_seconds,runtime_total_seconds,route_nervousness,route_nervousness,route_nervousness,route_nervousness,feasible,feasible,feasible,feasible
,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
dataset_source,scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro_neurips_2022,aet_rag,42.0,0.0,42,42,34.4,11.148990985734986,24,47,2823.8,877.6825735993623,1837.0,4071.0,0.0,0.0,0.0,0.0,13.6,17.728508115461945,4,45,0.9565245284365602,0.05376252450668153,0.8611111111111112,0.9872204472843451,141679.8,177848.46761976893,45129.0,456560.0,1032.068219836615,334.50175160936243,720.0249997763894,1410.1571568674408,0.402020202020202,0.08402680542660777,0.32323232323232326,0.5252525252525253,1.0,0.0,True,True
euro_neurips_2022,continuous,0.0,0.0,0,0,101.0,0.0,101,101,2863.4,907.3964403721232,1691.0,4071.0,0.0,0.0,0.0,0.0,14.0,17.902513789968157,3,45,0.9556406406293849,0.054377244873071516,0.8611111111111112,0.9881889763779528,145713.8,179643.81253107495,35003.0,456560.0,3030.177345626615,0.07369125793073984,3030.099728964269,3030.2569366348907,0.0,0.0,0.0,0.0,1.0,0.0,True,True
euro_neurips_2022,static,0.0,0.0,0,0,1.0,0.0,1,1,2782.6,843.822433927897,1788.0,3951.0,0.0,0.0,0.0,0.0,13.2,18.005554698481244,3,45,0.95822333997248,0.05483787034428845,0.8611111111111112,0.9883720930232558,137640.4,180609.64590187313,34469.0,456440.0,30.000751217547805,0.0006233367779418934,29.99992226390168,30.001420815009624,0.0,0.0,0.0,0.0,1.0,0.0,True,True
solomon,aet_rag,42.0,0.0,42,42,9.4,2.4585451886114362,7,14,1238.4,206.13706335564427,978.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2238.4,206.13706335564422,1978.0,2633.0,282.06360661247743,73.76221496607214,210.0683399690315,420.1008196622133,0.15555555555555553,0.05132885925968889,0.101010101010101,0.2626262626262626,1.0,0.0,True,True
solomon,continuous,0.0,0.0,0,0,101.0,0.0,101,101,1237.4,204.4859136686165,973.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2237.4,204.4859136686165,1973.0,2614.0,3030.585105363559,0.15309673224452444,3030.4227612530813,3030.867417786736,0.0,0.0,0.0,0.0,1.0,0.0,True,True
solomon,static,0.0,0.0,0,0,1.0,0.0,1,1,1238.0,205.85485717422907,972.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2238.0,205.85485717422904,1972.0,2633.0,30.006417582463474,0.00977826127966374,30.00001734914258,30.02507698815316,0.0,0.0,0.0,0.0,1.0,0.0,True,True
svrpbench,aet_rag,42.0,0.0,42,42,14.0,2.203892660077359,11,19,75.73333333333333,38.44005847079444,43.0,140.0,0.0,0.0,0.0,0.0,4.466666666666667,1.807392228230128,2,9,0.962,0.020336455654106234,0.91,0.99,44742.4,18066.684717615302,20140.0,90045.0,420.07952177248274,66.11150154314886,330.0383157543838,570.0881550405174,0.23838383838383834,0.037948468856742246,0.1818181818181818,0.3232323232323232,1.0,0.0,True,True
svrpbench,continuous,0.0,0.0,0,0,101.0,0.0,101,101,75.26666666666667,38.495763526962406,43.0,140.0,0.0,0.0,0.0,0.0,4.466666666666667,1.5976172734359606,2,8,0.962,0.018497104020436767,0.92,0.99,44741.933333333334,15968.130642298858,20140.0,80045.0,3030.70706356531,0.24440468950518593,3030.2316064410843,3031.1815770561807,0.0,0.0,0.0,0.0,1.0,0.0,True,True
svrpbench,static,0.0,0.0,0,0,1.0,0.0,1,1,75.73333333333333,38.68825341600409,43.0,140.0,0.0,0.0,0.0,0.0,4.533333333333333,1.7674302033770735,2,9,0.9613333333333334,0.020219038647015932,0.91,0.99,45409.066666666666,17666.305610506388,20140.0,90045.0,30.01431412141149,0.024906393448696027,30.00022861501202,30.089172039180998,0.0,0.0,0.0,0.0,1.0,0.0,True,True
synthetic,aet_rag,42.0,0.0,42,42,7.8,2.573367875415838,5,13,5780.9,1745.192663671646,3823.0,7708.0,0.0,0.0,0.0,0.0,3.0,1.3333333333333333,1,5,0.9789999999999999,0.010219806477837287,0.96,0.99,36662.9,14345.09082462243,14859.0,58714.0,234.0338583716657,77.24453565315244,150.00799536611885,390.1965498798527,0.18486909915481342,0.042594121136681436,0.101010101010101,0.2448979591836734,1.0,0.0,True,True
synthetic,continuous,0.0,0.0,0,0,76.0,26.352313834736492,51,101,5744.2,1823.179506003485,3736.0,7714.0,0.0,0.0,0.0,0.0,3.0,1.3333333333333333,1,5,0.9789999999999999,0.010219806477837287,0.96,0.99,36626.2,14361.516089884104,14815.0,58678.0,2280.528348544147,790.9404834061222,1530.1582058006898,3031.5131910596974,0.0,0.0,0.0,0.0,1.0,0.0,True,True
synthetic,static,0.0,0.0,0,0,1.0,0.0,1,1,5793.1,1765.5251941309452,3823.0,7919.0,0.0,0.0,0.0,0.0,3.0,1.3333333333333333,1,5,0.9789999999999999,0.010219806477837287,0.96,0.99,36675.1,14357.346330556895,14859.0,58709.0,30.000648595066743,0.00039514111897407425,30.00007745390758,30.00126235000789,0.0,0.0,0.0,0.0,1.0,0.0,True,True
