dataset_source,scenario,instance_id,seed,solver_calls,total_travel,total_lateness,unserved,served_ratio,objective,runtime_total_seconds,route_nervousness,feasible
svrpbench,static,svrp_000,0,1,59.0,0.0,4,0.96,40059.0,30.040516986045983,0.0,True
svrpbench,continuous,svrp_000,0,101,61.0,0.0,3,0.97,30061.0,3030.8249845937826,0.0,True
svrpbench,aet_rag,svrp_000,42,14,61.0,0.0,3,0.97,30061.0,420.09548714663833,0.2626262626262626,True
svrpbench,static,svrp_001,0,1,45.0,0.0,4,0.96,40045.0,30.00043331226334,0.0,True
svrpbench,continuous,svrp_001,0,101,45.0,0.0,4,0.96,40045.0,3030.8152351258323,0.0,True
svrpbench,aet_rag,svrp_001,42,11,45.0,0.0,4,0.96,40045.0,330.0383157543838,0.1818181818181818,True
svrpbench,static,svrp_002,0,1,52.0,0.0,5,0.95,50052.0,30.039936919230968,0.0,True
svrpbench,continuous,svrp_002,0,101,52.0,0.0,5,0.95,50052.0,3030.5612458903342,0.0,True
svrpbench,aet_rag,svrp_002,42,13,52.0,0.0,5,0.95,50052.0,390.1547968648374,0.2222222222222222,True
svrpbench,static,svrp_003,0,1,51.0,0.0,6,0.94,60051.0,30.020253542345017,0.0,True
svrpbench,continuous,svrp_003,0,101,49.0,0.0,6,0.94,60049.0,3030.58234526217,0.0,True
svrpbench,aet_rag,svrp_003,42,19,51.0,0.0,6,0.94,60051.0,570.0881550405174,0.3232323232323232,True
svrpbench,static,svrp_004,0,1,49.0,0.0,3,0.97,30049.0,30.009380673989654,0.0,True
svrpbench,continuous,svrp_004,0,101,46.0,0.0,4,0.96,40046.0,3030.754716908093,0.0,True
svrpbench,aet_rag,svrp_004,42,12,49.0,0.0,3,0.97,30049.0,360.0701942364685,0.1919191919191919,True
svrpbench,static,svrp_005,0,1,45.0,0.0,9,0.91,90045.0,30.007930046878755,0.0,True
svrpbench,continuous,svrp_005,0,101,45.0,0.0,8,0.92,80045.0,3030.490827782545,0.0,True
svrpbench,aet_rag,svrp_005,42,16,45.0,0.0,9,0.91,90045.0,480.1239546230063,0.2727272727272727,True
svrpbench,static,svrp_006,0,1,43.0,0.0,5,0.95,50043.0,30.000771190039814,0.0,True
svrpbench,continuous,svrp_006,0,101,43.0,0.0,5,0.95,50043.0,3030.9754158756696,0.0,True
svrpbench,aet_rag,svrp_006,42,12,43.0,0.0,5,0.95,50043.0,360.1016220529564,0.2222222222222222,True
svrpbench,static,svrp_007,0,1,49.0,0.0,4,0.96,40049.0,30.00022861501202,0.0,True
svrpbench,continuous,svrp_007,0,101,49.0,0.0,4,0.96,40049.0,3030.798808083404,0.0,True
svrpbench,aet_rag,svrp_007,42,13,49.0,0.0,4,0.96,40049.0,390.0398890739307,0.2222222222222222,True
svrpbench,static,svrp_008,0,1,54.0,0.0,5,0.95,50054.0,30.00151353515685,0.0,True
svrpbench,continuous,svrp_008,0,101,54.0,0.0,5,0.95,50054.0,3030.5747918579727,0.0,True
svrpbench,aet_rag,svrp_008,42,16,54.0,0.0,5,0.95,50054.0,480.0739948232658,0.2323232323232323,True
svrpbench,static,svrp_009,0,1,54.0,0.0,3,0.97,30054.0,30.00032446300611,0.0,True
svrpbench,continuous,svrp_009,0,101,54.0,0.0,3,0.97,30054.0,3030.695895614568,0.0,True
svrpbench,aet_rag,svrp_009,42,17,54.0,0.0,3,0.97,30054.0,510.0370288230479,0.303030303030303,True
svrpbench,static,svrp_010,0,1,100.0,0.0,3,0.985,30100.0,30.00047135585919,0.0,True
svrpbench,continuous,svrp_010,0,101,100.0,0.0,3,0.985,30100.0,3030.7782849604264,0.0,True
svrpbench,aet_rag,svrp_010,42,13,100.0,0.0,3,0.985,30100.0,390.1959959594533,0.2323232323232323,True
svrpbench,static,svrp_011,0,1,140.0,0.0,2,0.99,20140.0,30.089172039180998,0.0,True
svrpbench,continuous,svrp_011,0,101,140.0,0.0,2,0.99,20140.0,3030.380504429806,0.0,True
svrpbench,aet_rag,svrp_011,42,15,140.0,0.0,2,0.99,20140.0,450.013458293397,0.2424242424242424,True
svrpbench,static,svrp_012,0,1,138.0,0.0,7,0.965,70138.0,30.000869423151016,0.0,True
svrpbench,continuous,svrp_012,0,101,138.0,0.0,7,0.965,70138.0,3031.1815770561807,0.0,True
svrpbench,aet_rag,svrp_012,42,13,138.0,0.0,7,0.965,70138.0,390.0109502929263,0.2222222222222222,True
svrpbench,static,svrp_013,0,1,128.0,0.0,4,0.98,40128.0,30.00180279603228,0.0,True
svrpbench,continuous,svrp_013,0,101,126.0,0.0,4,0.98,40126.0,3030.2316064410843,0.0,True
svrpbench,aet_rag,svrp_013,42,14,126.0,0.0,4,0.98,40126.0,420.0166959711351,0.2222222222222222,True
svrpbench,static,svrp_014,0,1,129.0,0.0,4,0.98,40129.0,30.0011069229804,0.0,True
svrpbench,continuous,svrp_014,0,101,127.0,0.0,4,0.98,40127.0,3030.959713597782,0.0,True
svrpbench,aet_rag,svrp_014,42,12,129.0,0.0,4,0.98,40129.0,360.132287631277,0.2222222222222222,True
solomon,static,sol_r101,0,1,1633.0,0.0,0,1.0,2633.0,30.000442903954536,0.0,True
solomon,continuous,sol_r101,0,101,1614.0,0.0,0,1.0,2614.0,3030.797910814639,0.0,True
solomon,aet_rag,sol_r101,42,7,1633.0,0.0,0,1.0,2633.0,210.09043774940076,0.1212121212121212,True
solomon,static,sol_r102,0,1,1449.0,0.0,0,1.0,2449.0,30.000558771193027,0.0,True
solomon,continuous,sol_r102,0,101,1484.0,0.0,0,1.0,2484.0,3030.531574805267,0.0,True
solomon,aet_rag,sol_r102,42,8,1460.0,0.0,0,1.0,2460.0,240.0239935582504,0.1212121212121212,True
solomon,static,sol_r103,0,1,1221.0,0.0,0,1.0,2221.0,30.000738266389817,0.0,True
solomon,continuous,sol_r103,0,101,1219.0,0.0,0,1.0,2219.0,3030.867417786736,0.0,True
solomon,aet_rag,sol_r103,42,8,1223.0,0.0,0,1.0,2223.0,240.0547943431884,0.1414141414141414,True
solomon,static,sol_r104,0,1,1004.0,0.0,0,1.0,2004.0,30.013212679885328,0.0,True
solomon,continuous,sol_r104,0,101,1028.0,0.0,0,1.0,2028.0,3030.4227612530813,0.0,True
solomon,aet_rag,sol_r104,42,14,1004.0,0.0,0,1.0,2004.0,420.1008196622133,0.2626262626262626,True
solomon,static,sol_r105,0,1,1395.0,0.0,0,1.0,2395.0,30.02507698815316,0.0,True
solomon,continuous,sol_r105,0,101,1389.0,0.0,0,1.0,2389.0,3030.619046265725,0.0,True
solomon,aet_rag,sol_r105,42,7,1395.0,0.0,0,1.0,2395.0,210.0683399690315,0.101010101010101,True
solomon,static,sol_r106,0,1,1262.0,0.0,0,1.0,2262.0,30.00001734914258,0.0,True
solomon,continuous,sol_r106,0,101,1251.0,0.0,0,1.0,2251.0,3030.455339503009,0.0,True
