event_id,trigger,solver_called
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0000,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0001,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0002,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0003,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0004,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0005,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0006,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0007,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0008,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0009,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0010,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0011,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0012,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0013,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0014,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0015,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0016,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0017,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0018,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0019,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0020,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0021,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0022,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0023,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0024,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0025,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0026,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0027,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0028,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0029,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0030,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0031,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0032,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0033,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0034,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0035,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0036,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0037,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0038,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0039,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0040,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0041,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0042,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0043,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0044,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0045,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0046,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0047,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0048,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0049,True,True
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0050,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0051,True,True
