event_id,timestamp,U,S,R,D,theta,confidence,trigger,solver_called,reason,severity_minutes,delay_probability
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0000,14.823304689593808,0.175,0.8526518383919068,0.0,0.2786889169968707,0.6102859466523873,0.9269147,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0001,38.609913698378,0.6,0.9630317241781235,0.0,0.4888100744745311,0.5021688435624063,0.9039351,False,False,D<theta,40.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0002,38.654308165275246,1.0,0.9591355869218295,0.0,0.6794053983013457,0.5020009759408908,0.9183836000000001,True,True,D>=theta,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0003,43.988916130083815,0.175,0.7838751320793335,0.0,0.2429239878626019,0.6653944136761464,0.8569691,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0004,58.59048851992777,0.2,0.7171614317292689,0.0,0.24192787136438465,0.583687483710769,0.8662235,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0005,61.69645855937945,0.09333333333333334,0.9313038971254346,0.0,0.26482022757323326,0.5684977233193631,0.9475034,False,False,D<theta,7.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0006,69.23280130313914,1.0,0.6622842752756473,0.0,0.6305481201636988,0.5344536109733737,0.9473791,True,True,D>=theta,106.0,1.0
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0007,82.7556317473254,0.14666666666666667,0.9369044863598852,0.0,0.28446632249444276,0.6173830828394613,0.9249149,False,False,D<theta,11.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0008,85.38876361185542,0.06666666666666667,0.9779467951941907,0.0,0.24037750406938385,0.6031553863832966,0.8652274,False,False,D<theta,5.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0009,87.19111988366973,0.81,0.8423138296616796,0.0,0.5599771335013668,0.5937356161081948,0.9096763,False,False,D<theta,54.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0010,87.59836347249613,0.45,0.9605600750682494,0.0,0.4072830193646988,0.5916422545397002,0.8756138,False,False,D<theta,30.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0011,89.59011051336257,0.9,0.9672547768386851,0.0,0.6255687971951466,0.5815862459648695,0.9042446000000001,True,True,D>=theta,64.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0012,92.04996104622077,0.2,0.7660888248779261,0.0,0.25155541546562993,0.6836986008557724,0.8629031,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0013,95.58471470919699,0.57,0.7565610928034755,0.0,0.43581532526193334,0.661302321626613,0.9191696,False,False,D<theta,38.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0014,115.51084699181833,0.45,0.7727444830148175,0.0,0.3788792181568048,0.555038053862667,0.9060062,False,False,D<theta,30.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0015,129.15623994020754,0.1875,0.7526796089885076,0.0,0.25691002653504824,0.4985777419205546,0.9112873,False,False,D<theta,15.0,0.75
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0016,132.38962696568902,0.9,0.9443573264147593,0.0,0.5843685609482631,0.48680921950667577,0.8517383000000001,True,True,D>=theta,120.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0017,140.84695917048168,0.45,0.8058841107190695,0.0,0.38891351545032654,0.6463856494843708,0.9119342,False,False,D<theta,30.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0018,142.71231788120335,0.9,0.6721961426478413,0.0,0.566224758753055,0.6354483564934168,0.9161486,True,True,safety_U,120.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0019,144.52712731610376,1.0,0.7335195260025543,0.0,0.6094958555842681,0.6879152687153214,0.8918844,True,True,safety_U,100.0,1.0
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0020,153.29693675479785,1.0,0.8108386011013267,0.0,0.5993862449503431,0.6445320745080964,0.8529643,True,True,safety_U,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0021,157.23569760583047,0.9,0.7474634504182935,0.0,0.5517070253534715,0.6741835107622184,0.8662845,True,True,safety_U,120.0,0.9
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0022,170.01456567635415,0.2,0.8359395658602173,0.0,0.28735029463898676,0.6215058316851121,0.9299817,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0023,182.39555228422026,0.2,0.7187556804629521,0.0,0.25597569080596927,0.5585394656106406,0.9152157000000001,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0024,199.46954978994904,0.9,0.8579610459653939,0.0,0.6289747853422374,0.4888270858700027,0.9465523,True,True,D>=theta,86.0,0.9
