event_id,timestamp,affected_type,affected_id,true_delay,true_probability,severity_class,message
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0000,14.823304689593808,edge,"(56, 45)",8.35118632394044,0.6624516313740809,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0001,38.609913698378,edge,"(118, 79)",39.59130231165052,1.0,severe,"huge protest on Main Street, traffic at a standstill for 40 minutes"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0002,38.654308165275246,edge,"(258, 132)",87.89988088492252,0.8399314047338862,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0003,43.988916130083815,edge,"(72, 1)",18.263481366153254,0.7099581350371574,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0004,58.59048851992777,edge,"(66, 181)",7.196223137459265,0.9770496689025164,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0005,61.69645855937945,edge,"(218, 188)",7.396044389297996,0.6991051520037214,medium,"heavier than usual traffic on this stretch, expect ~7 min delay"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0006,69.23280130313914,edge,"(228, 323)",105.5860051801643,1.0,severe,"huge protest on Main Street, traffic at a standstill for 106 minutes"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0007,82.7556317473254,edge,"(49, 274)",10.791048030918331,0.7821173971706963,medium,"heavier than usual traffic on this stretch, expect ~11 min delay"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0008,85.38876361185542,edge,"(55, 153)",5.469660349497032,0.3945551451936228,medium,"heavier than usual traffic on this stretch, expect ~5 min delay"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0009,87.19111988366973,edge,"(139, 246)",53.97077232135384,1.0,severe,"huge protest on Main Street, traffic at a standstill for 54 minutes"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0010,87.59836347249613,edge,"(27, 39)",53.90082467268513,1.0,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0011,89.59011051336257,edge,"(212, 149)",64.25379369933937,0.7386052666400238,severe,"huge protest on Main Street, traffic at a standstill for 64 minutes"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0012,92.04996104622077,edge,"(194, 59)",17.145357014897428,0.5969839417150744,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22_e0013,95.58471470919699,edge,"(213, 68)",37.95516595003647,0.5678581963409809,severe,"huge protest on Main Street, traffic at a standstill for 38 minutes"
