event_id,trigger,solver_called
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0000,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0001,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0002,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0003,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0004,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0005,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0006,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0007,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0008,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0009,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0010,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0011,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0012,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0013,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0014,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0015,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0016,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0017,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0018,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0019,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0020,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0021,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0022,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0023,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0024,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0025,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0026,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0027,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0028,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0029,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0030,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0031,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0032,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0033,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0034,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0035,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0036,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0037,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0038,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0039,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0040,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0041,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0042,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0043,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0044,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0045,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0046,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0047,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0048,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0049,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0050,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0051,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0052,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0053,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0054,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0055,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0056,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0057,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0058,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0059,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0060,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0061,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0062,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0063,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0064,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0065,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0066,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0067,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0068,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0069,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0070,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0071,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0072,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0073,False,False
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0074,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0075,True,True
enrips_ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20_e0076,False,False
