event_id,timestamp,U,S,R,D,theta,confidence,trigger,solver_called,reason,severity_minutes,delay_probability
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0000,0.8954481972369421,0.1875,0.7331786693125655,0.0,0.2604004886222682,0.6939961360506857,0.9399224,False,False,D<theta,15.0,0.75
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0001,2.7592917074278356,0.175,0.8799372066657699,0.0,0.26187995195536506,0.68175496089047,0.8516856,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0002,37.41623782329218,1.0,0.8003656191298867,0.0,0.6369151564149015,0.5067246257801021,0.90976,True,True,D>=theta,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0003,46.9207020998145,1.0,0.7899034307170713,0.0,0.5976379079545135,0.6402082685924254,0.8568582,True,True,safety_U,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0004,47.059371229376396,0.2,0.6167110970094352,0.0,0.23827249835740774,0.699064956175433,0.9374246,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0005,51.25732704266495,0.08000000000000002,0.9464180280404964,0.0,0.2601667862929348,0.6716595389275912,0.9405732,False,False,D<theta,6.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0006,52.74249989458546,0.175,0.6979799705219839,0.0,0.22798799018805907,0.6623698396927985,0.8701998,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0007,54.128225873784544,0.24,0.9549411042502594,0.0,0.3239939528610894,0.6538868345227371,0.9031561,False,False,D<theta,18.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0008,64.73509941916907,0.056666666666666664,0.959756567426509,0.0,0.24976838121373307,0.5944784806253924,0.931025,False,False,D<theta,4.0,0.85
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0009,66.0970122743047,0.6,0.836148563047022,0.0,0.4648410599931117,0.5875126294304135,0.9131771,False,False,D<theta,36.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0010,68.15564909795715,0.2,0.7931030537616095,0.0,0.2571153784299022,0.5772496639151479,0.8620056,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0011,68.50430752850659,0.08333333333333333,0.8303790059983825,0.0,0.215265027234693,0.575542656212352,0.8636115,False,False,D<theta,10.0,0.5
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0012,82.8648986391804,0.2,0.902408450539123,0.0,0.280082514005692,0.5124563112046202,0.8601987,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0013,84.691144837687,0.39,0.7174766210228671,0.0,0.33642908758548146,0.5053642460170593,0.898656,False,False,D<theta,26.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0014,90.31355278981745,0.2125,0.972020650359247,0.0,0.3056966873709031,0.48471096533625424,0.8752818,False,False,D<theta,15.0,0.85
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0015,92.3595098443056,0.9,0.737734897651845,0.0,0.5473390433857845,0.47761724461813704,0.8627206000000001,True,True,D>=theta,98.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0016,92.74877449042005,0.16000000000000003,0.7173304655679391,0.0,0.238646457513507,0.6973801197827374,0.9202331,False,False,D<theta,12.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0017,111.1992420278721,0.45,0.830417937811905,0.0,0.3803855325622811,0.5892209279603664,0.8792917,False,False,D<theta,30.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0018,119.41739052431919,0.175,0.8641405819459529,0.0,0.2772523711274732,0.549879093742808,0.9134111,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0019,124.90363409297619,1.0,0.9764087461990522,0.0,0.6363229285696186,0.5261890842556347,0.8551553000000001,True,True,D>=theta,105.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0020,127.5947976363917,0.175,0.791762634333148,0.0,0.2638004888459805,0.6821964065054771,0.9241868,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0021,132.81665895501075,0.06666666666666667,0.7462250723175261,0.0,0.19890360172140706,0.6496352315115917,0.9045612000000001,False,False,D<theta,5.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0022,135.16678187354617,0.45,0.9947302966152244,0.0,0.4048510014113979,0.6357927723300827,0.8546884,False,False,D<theta,30.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0023,141.10135795270148,0.2,0.9598560626935266,0.0,0.3039043045021186,0.6029342309087573,0.8939308,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0024,155.22966233276233,1.0,0.6272120864713883,0.0,0.5614965026008527,0.53553287152763,0.8548933000000001,True,True,D>=theta,114.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0025,155.69719697468182,1.0,0.9722138007976999,0.0,0.7002335833301278,0.6968551813934966,0.9423731,True,True,D>=theta,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0026,161.67128050739686,0.041666666666666664,0.5789487850583858,0.0,0.14983536874706094,0.6614289440591701,0.904964,False,False,D<theta,5.0,0.5
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0027,173.11267810732556,0.5333333333333333,0.9216984965899557,0.0,0.4520214153316504,0.596545930629576,0.9093328,False,False,D<theta,32.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0028,175.87421715796893,0.15,0.8895052875761457,0.0,0.27037360026182783,0.5824841799994788,0.9091968,False,False,D<theta,15.0,0.6
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0029,184.69938276349356,0.175,0.962995893494274,0.0,0.2809150118645372,0.5412595505505617,0.8557986,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0030,194.20411986235237,0.9,0.8899792214622859,0.0,0.5798168167495703,0.5025587107348943,0.8621878000000001,True,True,D>=theta,120.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0031,194.41327797766135,0.9,0.8387833094691971,0.0,0.616563990599867,0.698590395105178,0.9346186000000001,True,True,safety_U,120.0,0.9
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0032,194.8418828308646,0.175,0.8920294330975886,0.0,0.2684837271158418,0.6971161972627504,0.8646614,False,False,D<theta,15.0,0.7
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0033,212.71741030582533,0.041666666666666664,0.9391988024018668,0.0,0.23030309793709822,0.5919572050642391,0.9009129,False,False,D<theta,5.0,0.5
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0034,229.5451459250143,0.04000000000000001,0.9194689890208859,0.0,0.21828557637909446,0.5156738858398433,0.8736062,False,False,D<theta,3.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0035,231.77593752859156,0.2,0.7554531630097003,0.0,0.251711138612302,0.5069310316393436,0.8713850000000001,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0036,243.4801479690801,0.2,0.7159318381916877,0.0,0.26154139128972115,0.46556112950023726,0.9374816,False,False,D<theta,15.0,0.8
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0037,273.09150054763666,1.0,0.9256468334635692,0.0,0.6737559130776549,0.3882514659848218,0.9211719,True,True,D>=theta,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0038,275.43526613422154,0.95,0.8738719542982583,0.0,0.5927210285412506,0.6844544469140984,0.8547201,True,True,safety_U,108.0,0.95
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0039,282.74530295189487,1.0,0.8849673764668703,0.0,0.6166395624709947,0.653266256744115,0.8549692,True,True,safety_U,120.0,1.0
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0040,288.73774717848346,0.2,0.8646245311568385,0.0,0.2757587770722559,0.6613156478479753,0.8722234,False,False,D<theta,15.0,0.8
