event_id,timestamp,affected_type,affected_id,true_delay,true_probability,severity_class,message
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0000,0.8954481972369421,edge,"(65, 121)",14.271594444615092,0.9585700906415716,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0001,2.7592917074278356,edge,"(44, 223)",12.545431679096303,1.0,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0002,37.41623782329218,edge,"(228, 245)",34.04897627185693,0.5196418304482234,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0003,46.9207020998145,edge,"(251, 144)",46.947835121388074,1.0,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0004,47.059371229376396,edge,"(7, 22)",5.0372926949224714,0.6684473785653312,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0005,51.25732704266495,edge,"(169, 41)",5.778699952713956,0.4767982612811621,medium,"heavier than usual traffic on this stretch, expect ~6 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0006,52.74249989458546,edge,"(139, 22)",11.813958365521136,0.7557879197445527,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0007,54.128225873784544,edge,"(186, 153)",17.63602549518352,1.0,medium,"heavier than usual traffic on this stretch, expect ~18 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0008,64.73509941916907,edge,"(196, 62)",3.6111226348789414,0.6670360573953995,mild,"slow traffic at the junction, about 4 minutes late"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0009,66.0970122743047,edge,"(65, 175)",36.050740874249676,1.0,severe,"huge protest on Main Street, traffic at a standstill for 36 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0010,68.15564909795715,edge,"(98, 225)",19.489348197833735,0.8465816373673878,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0011,68.50430752850659,edge,"(77, 179)",4.924856091293817,0.40334181415643844,mild,"minor congestion, moving slowly but flowing"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0012,82.8648986391804,edge,"(103, 95)",16.970542377146014,0.5125981953272876,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0013,84.691144837687,edge,"(243, 185)",26.373457416404086,1.0,severe,"huge protest on Main Street, traffic at a standstill for 26 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0014,90.31355278981745,edge,"(92, 245)",5.400663485555862,0.3263068812995797,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0015,92.3595098443056,edge,"(197, 141)",97.69163986255872,0.8876134183573305,severe,"huge protest on Main Street, traffic at a standstill for 98 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0016,92.74877449042005,edge,"(24, 45)",12.09451088055297,1.0,medium,"heavier than usual traffic on this stretch, expect ~12 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0017,111.1992420278721,edge,"(122, 96)",99.76425031378243,0.7757669184938979,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0018,119.41739052431919,edge,"(146, 41)",9.738605053810096,0.816455540828786,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0019,124.90363409297619,edge,"(27, 60)",104.62942729548453,1.0,severe,"huge protest on Main Street, traffic at a standstill for 105 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0020,127.5947976363917,edge,"(134, 197)",12.11380649421645,0.4267193373160949,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0021,132.81665895501075,edge,"(121, 191)",5.448277145889349,0.9846152635021773,medium,"heavier than usual traffic on this stretch, expect ~5 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0022,135.16678187354617,edge,"(126, 245)",33.900692230820574,1.0,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0023,141.10135795270148,edge,"(65, 246)",8.137868727047676,0.648976166149682,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0024,155.22966233276233,edge,"(40, 202)",114.41476547711608,0.7372795880332309,severe,"huge protest on Main Street, traffic at a standstill for 114 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0025,155.69719697468182,edge,"(55, 46)",21.66121876992319,0.9634438901263582,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0026,161.67128050739686,edge,"(46, 190)",2.0661203879527408,0.6371069288288469,mild,"slight delay at the crosswalk, nothing serious"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0027,173.11267810732556,edge,"(246, 98)",32.3770291313212,1.0,severe,"huge protest on Main Street, traffic at a standstill for 32 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0028,175.87421715796893,edge,"(125, 51)",10.133574247554943,0.6139789306553619,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0029,184.69938276349356,edge,"(197, 124)",14.87085666592383,1.0,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0030,194.20411986235237,edge,"(46, 83)",56.32948359135843,1.0,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0031,194.41327797766135,edge,"(212, 239)",29.50093979548319,1.0,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0032,194.8418828308646,edge,"(108, 98)",10.800765992836869,0.9793210428872292,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0033,212.71741030582533,edge,"(150, 26)",4.880593861965991,1.0,mild,"slight delay at the crosswalk, nothing serious"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0034,229.5451459250143,edge,"(253, 200)",3.2997073559104413,0.9820299025497329,mild,"slow traffic at the junction, about 3 minutes late"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0035,231.77593752859156,edge,"(91, 119)",6.80210063173264,0.35472081929119875,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0036,243.4801479690801,edge,"(224, 217)",18.062477346453576,0.5992907236677114,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0037,273.09150054763666,edge,"(184, 41)",25.747205855426216,1.0,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0038,275.43526613422154,edge,"(242, 43)",107.93383015352086,0.9687358114836977,severe,"huge protest on Main Street, traffic at a standstill for 108 minutes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0039,282.74530295189487,edge,"(104, 98)",89.51724014257454,1.0,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0040,288.73774717848346,edge,"(196, 150)",10.374084040690411,0.4437010307446463,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0041,289.13096434680705,edge,"(119, 62)",8.413816676551534,0.8509106841147569,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0042,291.373549934626,edge,"(151, 254)",13.593484446934673,0.9329739805845338,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0043,298.1486870084111,edge,"(201, 195)",2.280820262489762,0.4063215483295782,mild,"slow traffic at the junction, about 2 minutes late"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0044,301.8664530615274,edge,"(138, 246)",2.8582908572448384,0.22579075013868183,mild,"slight delay at the crosswalk, nothing serious"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0045,333.6270974747313,edge,"(17, 37)",33.33233968043014,0.7045892852299338,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0046,336.36160142336973,edge,"(1, 162)",15.1912340321696,0.7636250112596739,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0047,344.15242891294145,edge,"(249, 8)",15.737606191211972,1.0,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0048,361.90978195742787,edge,"(87, 35)",6.093744492930094,0.5756920921122922,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0049,363.46786493391215,edge,"(173, 12)",11.232575510584317,0.5219564116525065,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0050,366.1973707138829,edge,"(79, 227)",9.877170545550891,0.5689742070411004,medium,"heavier than usual traffic on this stretch, expect ~10 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0051,368.14219780525707,edge,"(10, 90)",31.968402523566482,0.5979730818791117,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0052,377.86560647685843,edge,"(234, 154)",4.111381595212907,0.3020585594024568,mild,stuck behind a garbage truck for a minute or two
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0053,398.8036564536847,edge,"(53, 34)",16.241841521645387,0.5806158337545677,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0054,399.3047943971515,edge,"(136, 213)",11.810968186140332,0.7615545416211589,medium,"heavier than usual traffic on this stretch, expect ~12 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0055,406.2294166160905,edge,"(185, 152)",11.219799239649438,0.6304977643191276,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0056,411.11119927146996,edge,"(119, 1)",5.540059463404106,0.4491863002081865,medium,"heavier than usual traffic on this stretch, expect ~6 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0057,420.04261016194454,edge,"(191, 185)",1.207373910099697,0.8123902633571097,mild,"minor congestion, moving slowly but flowing"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0058,422.6461772016402,edge,"(47, 64)",15.491026378647007,0.6596596664644784,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0059,437.57207617010266,edge,"(49, 233)",32.521308738981354,0.8019042026285235,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0060,437.9155561862906,edge,"(174, 68)",13.385359236215645,0.4801360950540434,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0061,455.3526208388868,edge,"(178, 60)",17.772639860076243,1.0,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0062,468.14379965097135,edge,"(88, 153)",6.269726958931459,1.0,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0063,469.37253034787364,edge,"(236, 70)",10.039655006062029,1.0,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0064,477.71786692517793,edge,"(29, 115)",48.77547925954214,1.0,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0065,489.959328089754,edge,"(107, 220)",9.639524065543139,0.4151991186736168,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0066,497.882514813489,edge,"(192, 186)",21.93393867857454,1.0,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0067,500.519854209589,edge,"(180, 114)",22.01385662894261,0.8579102711883944,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0068,509.0975392198831,edge,"(174, 144)",5.049171827392897,0.48769159565221865,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0069,540.0841410629441,edge,"(168, 155)",16.427084338983732,0.7194062220266624,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0070,544.9423461947549,edge,"(124, 78)",52.698492354079505,1.0,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0071,546.2863375742371,edge,"(117, 161)",2.4648080476707865,0.695235248513562,mild,stuck behind a garbage truck for a minute or two
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0072,553.415605160846,edge,"(124, 60)",118.9524166158931,0.5654041988598715,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0073,570.7137990907173,edge,"(3, 106)",5.137278451312984,0.6185818958741961,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0074,572.8503395806035,edge,"(224, 55)",4.337798325422691,0.5419676898723429,mild,stuck behind a garbage truck for a minute or two
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0075,577.2202546283237,edge,"(53, 201)",45.00155702772368,1.0,severe,"road completely blocked by a landslide, rerouting required"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0076,578.5162048097806,edge,"(114, 22)",39.10357186156982,0.585425763802546,severe,"major accident, police closed all lanes"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0077,581.4401433004704,edge,"(185, 30)",3.8050953256718163,0.6718255196371273,mild,"minor congestion, moving slowly but flowing"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0078,586.4389669921634,edge,"(19, 12)",2.952219640963637,0.3736885436110721,mild,"minor congestion, moving slowly but flowing"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0079,591.7313316319634,edge,"(145, 238)",68.46112436374094,1.0,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0080,610.061140850205,edge,"(218, 109)",11.14006457316706,0.7634591197457301,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0081,611.8956443389721,edge,"(200, 246)",7.828383828326,0.37656796038824114,medium,"heavier than usual traffic on this stretch, expect ~8 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0082,625.5375660919359,edge,"(176, 17)",73.99008199347548,0.6434684815601053,severe,"fire trucks blocking the whole intersection, no way through"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0083,626.8393882626902,edge,"(13, 222)",3.1570094256799055,0.6496287960231706,mild,"minor congestion, moving slowly but flowing"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0084,631.1539554344538,edge,"(211, 78)",18.259845245999518,1.0,medium,double-parked van blocking half the lane
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0085,641.4649889520734,edge,"(250, 233)",16.875266555925506,0.4425241634981357,medium,"heavier than usual traffic on this stretch, expect ~17 min delay"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0086,654.4580841806115,edge,"(106, 151)",1.1068528048404935,0.2390448499807227,mild,stuck behind a garbage truck for a minute or two
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0087,658.4298485364529,edge,"(209, 222)",12.52233927300542,0.4717715813442233,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0088,668.5321010410722,edge,"(101, 63)",9.453996760493697,0.8774580265182493,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0089,672.6910107322976,edge,"(28, 18)",11.441495247092385,0.7856186082070933,medium,"construction work narrowing the lanes, slow but moving"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0090,673.0851927559204,edge,"(235, 162)",11.57608062902279,0.9414189484690186,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0091,674.5300579673935,edge,"(96, 148)",4.832374226527753,0.4999710670439786,mild,"slight delay at the crosswalk, nothing serious"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0092,676.0279927163394,edge,"(222, 4)",2.0322860715570212,0.5182795258040319,mild,stuck behind a garbage truck for a minute or two
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0093,705.3990156149612,edge,"(207, 58)",9.833550689565705,0.8837591713423052,medium,"school zone congestion, queues forming"
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0094,705.5197663865983,edge,"(111, 199)",12.222071269511318,0.8353022104321663,medium,"construction work narrowing the lanes, slow but moving"
