event_id,trigger,solver_called
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0000,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0001,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0002,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0003,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0004,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0005,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0006,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0007,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0008,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0009,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0010,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0011,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0012,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0013,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0014,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0015,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0016,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0017,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0018,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0019,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0020,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0021,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0022,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0023,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0024,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0025,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0026,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0027,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0028,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0029,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0030,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0031,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0032,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0033,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0034,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0035,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0036,False,False
enrips_ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18_e0037,False,False
