event_id,trigger,solver_called
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0000,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0001,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0002,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0003,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0004,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0005,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0006,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0007,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0008,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0009,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0010,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0011,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0012,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0013,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0014,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0015,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0016,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0017,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0018,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0019,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0020,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0021,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0022,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0023,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0024,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0025,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0026,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0027,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0028,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0029,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0030,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0031,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0032,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0033,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0034,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0035,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0036,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0037,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0038,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0039,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0040,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0041,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0042,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0043,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0044,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0045,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0046,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0047,False,False
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0048,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0049,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0050,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0051,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0052,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0053,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0054,True,True
enrips_ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20_e0055,False,False
