event_id,trigger,solver_called
sol_r105_e0000,False,False
sol_r105_e0001,False,False
sol_r105_e0002,False,False
sol_r105_e0003,False,False
sol_r105_e0004,False,False
sol_r105_e0005,False,False
sol_r105_e0006,False,False
sol_r105_e0007,False,False
sol_r105_e0008,False,False
sol_r105_e0009,False,False
sol_r105_e0010,False,False
sol_r105_e0011,False,False
sol_r105_e0012,False,False
sol_r105_e0013,False,False
sol_r105_e0014,False,False
sol_r105_e0015,False,False
sol_r105_e0016,False,False
sol_r105_e0017,False,False
sol_r105_e0018,False,False
sol_r105_e0019,False,False
sol_r105_e0020,False,False
sol_r105_e0021,False,False
sol_r105_e0022,False,False
sol_r105_e0023,False,False
sol_r105_e0024,False,False
sol_r105_e0025,False,False
sol_r105_e0026,False,False
sol_r105_e0027,False,False
sol_r105_e0028,False,False
sol_r105_e0029,False,False
sol_r105_e0030,False,False
sol_r105_e0031,False,False
sol_r105_e0032,False,False
sol_r105_e0033,False,False
sol_r105_e0034,False,False
sol_r105_e0035,False,False
sol_r105_e0036,False,False
sol_r105_e0037,False,False
sol_r105_e0038,False,False
sol_r105_e0039,False,False
sol_r105_e0040,False,False
sol_r105_e0041,False,False
sol_r105_e0042,False,False
sol_r105_e0043,False,False
sol_r105_e0044,False,False
sol_r105_e0045,False,False
sol_r105_e0046,False,False
sol_r105_e0047,False,False
sol_r105_e0048,False,False
sol_r105_e0049,False,False
sol_r105_e0050,False,False
sol_r105_e0051,False,False
sol_r105_e0052,False,False
sol_r105_e0053,False,False
sol_r105_e0054,False,False
sol_r105_e0055,False,False
sol_r105_e0056,False,False
sol_r105_e0057,False,False
sol_r105_e0058,False,False
sol_r105_e0059,False,False
sol_r105_e0060,False,False
sol_r105_e0061,False,False
sol_r105_e0062,False,False
sol_r105_e0063,False,False
sol_r105_e0064,False,False
sol_r105_e0065,False,False
sol_r105_e0066,False,False
sol_r105_e0067,False,False
sol_r105_e0068,False,False
sol_r105_e0069,False,False
sol_r105_e0070,False,False
sol_r105_e0071,False,False
sol_r105_e0072,False,False
sol_r105_e0073,False,False
sol_r105_e0074,False,False
sol_r105_e0075,False,False
sol_r105_e0076,False,False
sol_r105_e0077,False,False
sol_r105_e0078,False,False
sol_r105_e0079,False,False
sol_r105_e0080,False,False
sol_r105_e0081,False,False
sol_r105_e0082,False,False
sol_r105_e0083,False,False
sol_r105_e0084,False,False
sol_r105_e0085,False,False
sol_r105_e0086,False,False
sol_r105_e0087,False,False
sol_r105_e0088,False,False
sol_r105_e0089,False,False
sol_r105_e0090,False,False
sol_r105_e0091,False,False
sol_r105_e0092,False,False
sol_r105_e0093,False,False
sol_r105_e0094,False,False
sol_r105_e0095,False,False
sol_r105_e0096,False,False
sol_r105_e0097,False,False
sol_r105_e0098,False,False
sol_r105_e0099,False,False
