event_id,trigger,solver_called
sol_r107_e0000,False,False
sol_r107_e0001,False,False
sol_r107_e0002,False,False
sol_r107_e0003,False,False
sol_r107_e0004,False,False
sol_r107_e0005,False,False
sol_r107_e0006,False,False
sol_r107_e0007,False,False
sol_r107_e0008,False,False
sol_r107_e0009,True,True
sol_r107_e0010,False,False
sol_r107_e0011,False,False
sol_r107_e0012,False,False
sol_r107_e0013,False,False
sol_r107_e0014,False,False
sol_r107_e0015,False,False
sol_r107_e0016,False,False
sol_r107_e0017,False,False
sol_r107_e0018,False,False
sol_r107_e0019,True,True
sol_r107_e0020,False,False
sol_r107_e0021,False,False
sol_r107_e0022,False,False
sol_r107_e0023,False,False
sol_r107_e0024,False,False
sol_r107_e0025,False,False
sol_r107_e0026,False,False
sol_r107_e0027,False,False
sol_r107_e0028,False,False
sol_r107_e0029,True,True
sol_r107_e0030,False,False
sol_r107_e0031,False,False
sol_r107_e0032,False,False
sol_r107_e0033,False,False
sol_r107_e0034,False,False
sol_r107_e0035,False,False
sol_r107_e0036,False,False
sol_r107_e0037,False,False
sol_r107_e0038,False,False
sol_r107_e0039,True,True
sol_r107_e0040,False,False
sol_r107_e0041,False,False
sol_r107_e0042,False,False
sol_r107_e0043,False,False
sol_r107_e0044,False,False
sol_r107_e0045,False,False
sol_r107_e0046,False,False
sol_r107_e0047,False,False
sol_r107_e0048,False,False
sol_r107_e0049,True,True
sol_r107_e0050,False,False
sol_r107_e0051,False,False
sol_r107_e0052,False,False
sol_r107_e0053,False,False
sol_r107_e0054,False,False
sol_r107_e0055,False,False
sol_r107_e0056,False,False
sol_r107_e0057,False,False
sol_r107_e0058,False,False
sol_r107_e0059,True,True
sol_r107_e0060,False,False
sol_r107_e0061,False,False
sol_r107_e0062,False,False
sol_r107_e0063,False,False
sol_r107_e0064,False,False
sol_r107_e0065,False,False
sol_r107_e0066,False,False
sol_r107_e0067,False,False
sol_r107_e0068,False,False
sol_r107_e0069,True,True
sol_r107_e0070,False,False
sol_r107_e0071,False,False
sol_r107_e0072,False,False
sol_r107_e0073,False,False
sol_r107_e0074,False,False
sol_r107_e0075,False,False
sol_r107_e0076,False,False
sol_r107_e0077,False,False
sol_r107_e0078,False,False
sol_r107_e0079,True,True
sol_r107_e0080,False,False
sol_r107_e0081,False,False
sol_r107_e0082,False,False
sol_r107_e0083,False,False
sol_r107_e0084,False,False
sol_r107_e0085,False,False
sol_r107_e0086,False,False
sol_r107_e0087,False,False
sol_r107_e0088,False,False
sol_r107_e0089,True,True
sol_r107_e0090,False,False
sol_r107_e0091,False,False
sol_r107_e0092,False,False
sol_r107_e0093,False,False
sol_r107_e0094,False,False
sol_r107_e0095,False,False
sol_r107_e0096,False,False
sol_r107_e0097,False,False
sol_r107_e0098,False,False
sol_r107_e0099,True,True
