event_id,trigger,solver_called
svrp_008_e0000,False,False
svrp_008_e0001,False,False
svrp_008_e0002,False,False
svrp_008_e0003,False,False
svrp_008_e0004,False,False
svrp_008_e0005,False,False
svrp_008_e0006,False,False
svrp_008_e0007,False,False
svrp_008_e0008,False,False
svrp_008_e0009,True,True
svrp_008_e0010,False,False
svrp_008_e0011,False,False
svrp_008_e0012,False,False
svrp_008_e0013,False,False
svrp_008_e0014,False,False
svrp_008_e0015,False,False
svrp_008_e0016,False,False
svrp_008_e0017,False,False
svrp_008_e0018,False,False
svrp_008_e0019,True,True
svrp_008_e0020,False,False
svrp_008_e0021,False,False
svrp_008_e0022,False,False
svrp_008_e0023,False,False
svrp_008_e0024,False,False
svrp_008_e0025,False,False
svrp_008_e0026,False,False
svrp_008_e0027,False,False
svrp_008_e0028,False,False
svrp_008_e0029,True,True
svrp_008_e0030,False,False
svrp_008_e0031,False,False
svrp_008_e0032,False,False
svrp_008_e0033,False,False
svrp_008_e0034,False,False
svrp_008_e0035,False,False
svrp_008_e0036,False,False
svrp_008_e0037,False,False
svrp_008_e0038,False,False
svrp_008_e0039,True,True
svrp_008_e0040,False,False
svrp_008_e0041,False,False
svrp_008_e0042,False,False
svrp_008_e0043,False,False
svrp_008_e0044,False,False
svrp_008_e0045,False,False
svrp_008_e0046,False,False
svrp_008_e0047,False,False
svrp_008_e0048,False,False
svrp_008_e0049,True,True
svrp_008_e0050,False,False
svrp_008_e0051,False,False
svrp_008_e0052,False,False
svrp_008_e0053,False,False
svrp_008_e0054,False,False
svrp_008_e0055,False,False
svrp_008_e0056,False,False
svrp_008_e0057,False,False
svrp_008_e0058,False,False
svrp_008_e0059,True,True
svrp_008_e0060,False,False
svrp_008_e0061,False,False
svrp_008_e0062,False,False
svrp_008_e0063,False,False
svrp_008_e0064,False,False
svrp_008_e0065,False,False
svrp_008_e0066,False,False
svrp_008_e0067,False,False
svrp_008_e0068,False,False
svrp_008_e0069,True,True
svrp_008_e0070,False,False
svrp_008_e0071,False,False
svrp_008_e0072,False,False
svrp_008_e0073,False,False
svrp_008_e0074,False,False
svrp_008_e0075,False,False
svrp_008_e0076,False,False
svrp_008_e0077,False,False
svrp_008_e0078,False,False
svrp_008_e0079,True,True
svrp_008_e0080,False,False
svrp_008_e0081,False,False
svrp_008_e0082,False,False
svrp_008_e0083,False,False
svrp_008_e0084,False,False
svrp_008_e0085,False,False
svrp_008_e0086,False,False
svrp_008_e0087,False,False
svrp_008_e0088,False,False
svrp_008_e0089,True,True
svrp_008_e0090,False,False
svrp_008_e0091,False,False
svrp_008_e0092,False,False
svrp_008_e0093,False,False
svrp_008_e0094,False,False
svrp_008_e0095,False,False
svrp_008_e0096,False,False
svrp_008_e0097,False,False
svrp_008_e0098,False,False
svrp_008_e0099,True,True
