event_id,trigger,solver_called
syn_n100_001_e0000,False,False
syn_n100_001_e0001,False,False
syn_n100_001_e0002,False,False
syn_n100_001_e0003,False,False
syn_n100_001_e0004,False,False
syn_n100_001_e0005,False,False
syn_n100_001_e0006,False,False
syn_n100_001_e0007,False,False
syn_n100_001_e0008,False,False
syn_n100_001_e0009,True,True
syn_n100_001_e0010,False,False
syn_n100_001_e0011,False,False
syn_n100_001_e0012,False,False
syn_n100_001_e0013,False,False
syn_n100_001_e0014,False,False
syn_n100_001_e0015,False,False
syn_n100_001_e0016,False,False
syn_n100_001_e0017,False,False
syn_n100_001_e0018,False,False
syn_n100_001_e0019,True,True
syn_n100_001_e0020,False,False
syn_n100_001_e0021,False,False
syn_n100_001_e0022,False,False
syn_n100_001_e0023,False,False
syn_n100_001_e0024,False,False
syn_n100_001_e0025,False,False
syn_n100_001_e0026,False,False
syn_n100_001_e0027,False,False
syn_n100_001_e0028,False,False
syn_n100_001_e0029,True,True
syn_n100_001_e0030,False,False
syn_n100_001_e0031,False,False
syn_n100_001_e0032,False,False
syn_n100_001_e0033,False,False
syn_n100_001_e0034,False,False
syn_n100_001_e0035,False,False
syn_n100_001_e0036,False,False
syn_n100_001_e0037,False,False
syn_n100_001_e0038,False,False
syn_n100_001_e0039,True,True
syn_n100_001_e0040,False,False
syn_n100_001_e0041,False,False
syn_n100_001_e0042,False,False
syn_n100_001_e0043,False,False
syn_n100_001_e0044,False,False
syn_n100_001_e0045,False,False
syn_n100_001_e0046,False,False
syn_n100_001_e0047,False,False
syn_n100_001_e0048,False,False
syn_n100_001_e0049,True,True
