event_id,timestamp,U,S,R,D,theta,confidence,trigger,solver_called,reason,severity_minutes,delay_probability
syn_n100_003_e0000,26.774663172420414,0.024999999999999998,0.8351112394686631,0.0,0.2067633353345199,0.5511557687907926,0.9344061,False,False,D<theta,5.0,0.3
syn_n100_003_e0001,28.144710834577378,0.09999999999999999,0.7713410898271261,0.0,0.21106787779983957,0.5450299628737836,0.8691813,False,False,D<theta,10.0,0.6
syn_n100_003_e0002,41.840697175292775,0.02333333333333333,0.6960593429533855,0.0,0.16741809264625884,0.4902396880389287,0.9016412,False,False,D<theta,2.0,0.7
syn_n100_003_e0003,52.43292698342142,1.0,0.8200833380536512,0.0,0.6267467423865626,0.4549474650019775,0.8889762,True,True,D>=theta,120.0,1.0
syn_n100_003_e0004,61.432783888362806,0.2,0.9092804530360558,0.0,0.2870944025281494,0.6431730041754209,0.8771059,False,False,D<theta,15.0,0.8
syn_n100_003_e0005,94.71493383742283,0.12,0.7941350729489212,0.0,0.2219964575877269,0.4886546385663856,0.8586749,False,False,D<theta,9.0,0.8
syn_n100_003_e0006,100.29477625142961,0.09999999999999999,0.9865771189818345,0.0,0.26725911269586516,0.4694928907798992,0.9009414,False,False,D<theta,10.0,0.6
syn_n100_003_e0007,103.6192645464255,0.12,0.7073579261627505,0.0,0.22211083681079088,0.45881579909699777,0.9378117,False,False,D<theta,9.0,0.8
syn_n100_003_e0008,118.70096817483861,0.09333333333333334,0.7484781365521497,0.0,0.21065712411497264,0.4165385751040839,0.9010674000000001,False,False,D<theta,7.0,0.8
syn_n100_003_e0009,120.66050096642189,0.2,0.6572092706022639,0.0,0.2300282802836665,0.41171474875332964,0.8703226000000001,False,False,D<theta,15.0,0.8
syn_n100_003_e0010,129.49704430132465,0.024999999999999998,0.610435774607539,0.0,0.14172104714196854,0.39163960280688637,0.8583487000000001,False,False,D<theta,5.0,0.3
syn_n100_003_e0011,133.084029842103,0.08333333333333333,0.9372349109275735,0.0,0.23866172723581114,0.3842201067256188,0.8647935,False,False,D<theta,10.0,0.5
syn_n100_003_e0012,140.2451444433966,0.041666666666666664,0.7125681563451216,0.0,0.17864426784115003,0.3705499657924424,0.897821,False,False,D<theta,5.0,0.5
syn_n100_003_e0013,148.5278579718128,0.175,0.9482358522048258,0.0,0.2914947134257426,0.3564657798909351,0.8981256,False,False,D<theta,15.0,0.7
syn_n100_003_e0014,152.80045239537793,0.024999999999999998,0.810912139537243,0.0,0.1952011523295396,0.34985655454118425,0.9069504,False,False,D<theta,5.0,0.3
syn_n100_003_e0015,154.1473189076405,0.175,0.6672804095597461,0.0,0.22460025522464855,0.3478593950352743,0.88314,False,False,D<theta,15.0,0.7
syn_n100_003_e0016,154.61162367406234,0.04000000000000001,0.8380598559875759,0.0,0.1993136177689599,0.34718021412927125,0.8684123,False,False,D<theta,3.0,0.8
syn_n100_003_e0017,178.0942684333641,0.2,0.7004252173190351,0.0,0.2538364053892427,0.31832853448908205,0.9226848000000001,False,False,D<theta,15.0,0.8
syn_n100_003_e0018,226.63710215892,0.175,0.7894596212157399,0.0,0.2514968558102911,0.28298935570800876,0.8828636,False,False,D<theta,15.0,0.7
syn_n100_003_e0019,231.59772778778245,0.15,0.8996908332933133,0.0,0.2796469434957339,0.2806237413945314,0.9323967,False,False,D<theta,15.0,0.6
syn_n100_003_e0020,237.628383637817,0.175,0.6169698422162255,0.0,0.20807498807269295,0.27797512529332424,0.86073,False,False,D<theta,15.0,0.7
syn_n100_003_e0021,242.20806531451285,0.011666666666666665,0.8152289630923613,0.0,0.1888918804575608,0.2761178896777952,0.9010273,False,False,D<theta,1.0,0.7
syn_n100_003_e0022,254.94669644000302,0.2,0.6659512188109268,0.0,0.23387292190955425,0.2715751252205016,0.8776121,False,False,D<theta,15.0,0.8
syn_n100_003_e0023,261.8636900821021,0.2,0.8341039466939263,0.0,0.2927712305743949,0.2694488148740806,0.9489354,True,True,D>=theta,15.0,0.8
syn_n100_003_e0024,267.5088467009344,0.1875,0.8510622120271643,0.0,0.28749390277296155,0.6634639108889683,0.9379423,False,False,D<theta,15.0,0.75
syn_n100_003_e0025,268.6706719570316,0.175,0.8062387575673652,0.0,0.2639482359012728,0.6563207428135442,0.9131271000000001,False,False,D<theta,15.0,0.7
syn_n100_003_e0026,285.6513418127339,0.024999999999999998,0.6385953507335436,0.0,0.15073937533605394,0.5649559559929185,0.875634,False,False,D<theta,5.0,0.3
syn_n100_003_e0027,303.7383581539198,0.09999999999999999,0.9063706711394812,0.0,0.2495735470767046,0.49011730185958524,0.9023144000000001,False,False,D<theta,10.0,0.6
syn_n100_003_e0028,308.17448223888596,0.175,0.8902809951024905,0.0,0.2673268479327289,0.4746594500777418,0.8621493,False,False,D<theta,15.0,0.7
syn_n100_003_e0029,309.0198819215214,0.02333333333333333,0.7551543352387557,0.0,0.18855901313606074,0.47182853202596187,0.9406539,False,False,D<theta,2.0,0.7
syn_n100_003_e0030,309.39405928619277,0.12,0.828364569463484,0.0,0.2344574658275526,0.47058697128187843,0.8778182,False,False,D<theta,9.0,0.8
syn_n100_003_e0031,309.58983479328793,0.08000000000000002,0.8715990424695722,0.0,0.23307329806132032,0.46994013860926453,0.903736,False,False,D<theta,6.0,0.8
syn_n100_003_e0032,322.8750230493347,0.175,0.738625500956914,0.0,0.250504729866334,0.43020184581276477,0.9204441,False,False,D<theta,15.0,0.7
syn_n100_003_e0033,326.95884658959056,0.2,0.8874854875164262,0.0,0.2977231653266997,0.4194944588527701,0.9249756,False,False,D<theta,15.0,0.8
syn_n100_003_e0034,342.7316391002811,1.0,0.662438656185922,0.0,0.629452482437114,0.38378423926123983,0.9456781000000001,True,True,D>=theta,120.0,1.0
syn_n100_003_e0035,359.9156176696135,0.45,0.8909430953966796,0.0,0.419123487862803,0.5977514165349778,0.9360956,False,False,D<theta,30.0,0.9
syn_n100_003_e0036,366.56959360783196,0.024999999999999998,0.8679260405543614,0.0,0.2153552020782341,0.5647183982398944,0.9384425000000001,False,False,D<theta,5.0,0.3
syn_n100_003_e0037,376.99399767560186,1.0,0.8212273766016782,0.0,0.6576901684881364,0.5191616703621966,0.932488,True,True,D>=theta,120.0,1.0
syn_n100_003_e0038,412.2064533582321,0.125,0.7934981092124971,0.0,0.242346096613589,0.5153529290160704,0.9289757000000001,False,False,D<theta,15.0,0.5
syn_n100_003_e0039,413.1157942145909,0.0,0.8583750805192811,0.0,0.18372692412500213,0.5117580580791683,0.8561615,False,False,D<theta,0.0,0.4
syn_n100_003_e0040,416.2661419154736,0.024999999999999998,0.8791877925713654,0.0,0.20356992282106207,0.4996763350250549,0.8763349,False,False,D<theta,5.0,0.3
syn_n100_003_e0041,416.39284790257636,0.9666666666666667,0.677609168378619,0.0,0.6033512145736076,0.49920225338784335,0.9243424,True,True,D>=theta,58.0,1.0
syn_n100_003_e0042,431.0144735203855,0.9,0.8007683536271645,0.0,0.5954976698531765,0.6113775289691787,0.9158796,True,True,safety_U,120.0,0.9
syn_n100_003_e0043,437.36094614307444,0.02666666666666667,0.9444351240629757,0.0,0.22328464141418705,0.6591371759877556,0.8951361,False,False,D<theta,2.0,0.8
syn_n100_003_e0044,437.8115962010236,0.03333333333333333,0.7990790891724892,0.0,0.18710406371891472,0.6563808371842705,0.8644758,False,False,D<theta,5.0,0.4
syn_n100_003_e0045,446.10551557728587,1.0,0.7168985645775262,0.0,0.6294064343823981,0.608841918083791,0.9266543,True,True,D>=theta,120.0,1.0
syn_n100_003_e0046,461.5905873465298,0.024999999999999998,0.8380757055579205,0.0,0.20691870874516716,0.6067272578655951,0.9319868,False,False,D<theta,5.0,0.3
syn_n100_003_e0047,469.4631934588931,0.175,0.7211831814167139,0.0,0.24673855671262732,0.5669938631495663,0.9213683,False,False,D<theta,15.0,0.7
syn_n100_003_e0048,472.39740362003096,0.024999999999999998,0.7073188074918144,0.0,0.163811749989666,0.5533445420954767,0.8652195,False,False,D<theta,5.0,0.3
syn_n100_003_e0049,474.49120529576305,0.024999999999999998,0.869817196745037,0.0,0.21615255712624956,0.5439654481071545,0.9399805,False,False,D<theta,5.0,0.3
