event_id,trigger,solver_called
syn_n200_002_e0000,False,False
syn_n200_002_e0001,False,False
syn_n200_002_e0002,False,False
syn_n200_002_e0003,False,False
syn_n200_002_e0004,False,False
syn_n200_002_e0005,False,False
syn_n200_002_e0006,False,False
syn_n200_002_e0007,True,True
syn_n200_002_e0008,False,False
syn_n200_002_e0009,False,False
syn_n200_002_e0010,False,False
syn_n200_002_e0011,False,False
syn_n200_002_e0012,False,False
syn_n200_002_e0013,False,False
syn_n200_002_e0014,False,False
syn_n200_002_e0015,False,False
syn_n200_002_e0016,False,False
syn_n200_002_e0017,False,False
syn_n200_002_e0018,False,False
syn_n200_002_e0019,False,False
syn_n200_002_e0020,True,True
syn_n200_002_e0021,False,False
syn_n200_002_e0022,False,False
syn_n200_002_e0023,False,False
syn_n200_002_e0024,False,False
syn_n200_002_e0025,False,False
syn_n200_002_e0026,False,False
syn_n200_002_e0027,False,False
syn_n200_002_e0028,False,False
syn_n200_002_e0029,False,False
syn_n200_002_e0030,True,True
syn_n200_002_e0031,False,False
syn_n200_002_e0032,False,False
syn_n200_002_e0033,False,False
syn_n200_002_e0034,False,False
syn_n200_002_e0035,False,False
syn_n200_002_e0036,False,False
syn_n200_002_e0037,False,False
syn_n200_002_e0038,False,False
syn_n200_002_e0039,False,False
syn_n200_002_e0040,False,False
syn_n200_002_e0041,False,False
syn_n200_002_e0042,False,False
syn_n200_002_e0043,False,False
syn_n200_002_e0044,False,False
syn_n200_002_e0045,False,False
syn_n200_002_e0046,False,False
syn_n200_002_e0047,False,False
syn_n200_002_e0048,False,False
syn_n200_002_e0049,False,False
syn_n200_002_e0050,False,False
syn_n200_002_e0051,False,False
syn_n200_002_e0052,False,False
syn_n200_002_e0053,False,False
syn_n200_002_e0054,False,False
syn_n200_002_e0055,False,False
syn_n200_002_e0056,False,False
syn_n200_002_e0057,False,False
syn_n200_002_e0058,False,False
syn_n200_002_e0059,True,True
syn_n200_002_e0060,False,False
syn_n200_002_e0061,False,False
syn_n200_002_e0062,False,False
syn_n200_002_e0063,False,False
syn_n200_002_e0064,False,False
syn_n200_002_e0065,False,False
syn_n200_002_e0066,False,False
syn_n200_002_e0067,False,False
syn_n200_002_e0068,False,False
syn_n200_002_e0069,False,False
syn_n200_002_e0070,False,False
syn_n200_002_e0071,False,False
syn_n200_002_e0072,False,False
syn_n200_002_e0073,False,False
syn_n200_002_e0074,False,False
syn_n200_002_e0075,True,True
syn_n200_002_e0076,False,False
syn_n200_002_e0077,False,False
syn_n200_002_e0078,False,False
syn_n200_002_e0079,False,False
syn_n200_002_e0080,False,False
syn_n200_002_e0081,False,False
syn_n200_002_e0082,False,False
syn_n200_002_e0083,False,False
syn_n200_002_e0084,False,False
syn_n200_002_e0085,False,False
syn_n200_002_e0086,False,False
syn_n200_002_e0087,False,False
syn_n200_002_e0088,False,False
syn_n200_002_e0089,False,False
syn_n200_002_e0090,True,True
syn_n200_002_e0091,False,False
syn_n200_002_e0092,False,False
syn_n200_002_e0093,False,False
syn_n200_002_e0094,False,False
syn_n200_002_e0095,False,False
syn_n200_002_e0096,False,False
syn_n200_002_e0097,False,False
syn_n200_002_e0098,False,False
syn_n200_002_e0099,False,False
