,,seed,seed,seed,seed,solver_calls,solver_calls,solver_calls,solver_calls,total_travel,total_travel,total_travel,total_travel,total_lateness,total_lateness,total_lateness,total_lateness,unserved,unserved,unserved,unserved,served_ratio,served_ratio,served_ratio,served_ratio,objective,objective,objective,objective,runtime_total_seconds,runtime_total_seconds,runtime_total_seconds,runtime_total_seconds,route_nervousness,route_nervousness,route_nervousness,route_nervousness,feasible,feasible,feasible,feasible
,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
dataset_source,scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euro_neurips_2022,aet_rag,42.0,0.0,42,42,6.0,1.4142135623730951,5,7,2797.0,630.7392488184004,2351.0,3243.0,0.0,0.0,0.0,0.0,18.0,24.041630560342615,1,35,0.9279999999999999,0.09616652224137043,0.86,0.996,184807.0,240864.61130269844,14490.0,355124.0,30.002850958000636,7.07017479534308,25.003482416039333,35.00221949996194,0.6111111111111112,0.07856742013183861,0.5555555555555556,0.6666666666666666,1.0,0.0,True,True
euro_neurips_2022,continuous,0.0,0.0,0,0,11.0,0.0,11,11,2797.0,630.7392488184004,2351.0,3243.0,0.0,0.0,0.0,0.0,18.0,24.041630560342615,1,35,0.9279999999999999,0.09616652224137043,0.86,0.996,184807.0,240864.61130269844,14490.0,355124.0,55.003927500511054,0.0012977155420392853,55.00300987705123,55.00484512397088,0.0,0.0,0.0,0.0,1.0,0.0,True,True
euro_neurips_2022,static,0.0,0.0,0,0,1.0,0.0,1,1,2798.5,632.86056916196,2351.0,3246.0,0.0,0.0,0.0,0.0,18.0,24.041630560342615,1,35,0.9279999999999999,0.09616652224137043,0.86,0.996,184808.5,240866.732623042,14490.0,355127.0,5.0001855625305325,0.0004460959917559066,4.999870125029702,5.000501000031363,0.0,0.0,0.0,0.0,1.0,0.0,True,True
solomon,aet_rag,42.0,0.0,42,42,2.0,0.0,2,2,1539.5,127.9863273947651,1449.0,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2539.5,127.9863273947651,2449.0,2630.0,10.001680437475443,0.0018357955489450753,10.000382333993912,10.002978540956974,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,1.0,0.0,True,True
solomon,continuous,0.0,0.0,0,0,11.0,0.0,11,11,1539.0,127.27922061357856,1449.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2539.0,127.27922061357856,2449.0,2629.0,55.01078018703265,0.0062102543282915946,55.00638887408422,55.01517149998108,0.0,0.0,0.0,0.0,1.0,0.0,True,True
solomon,static,0.0,0.0,0,0,1.0,0.0,1,1,1537.0,130.10764773832474,1445.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,2537.0,130.10764773832474,2445.0,2629.0,5.002146750019165,0.0024753447110263185,5.000396416988224,5.003897083050106,0.0,0.0,0.0,0.0,1.0,0.0,True,True
svrpbench,aet_rag,42.0,0.0,42,42,3.5,0.7071067811865476,3,4,51.5,9.192388155425117,45.0,58.0,0.0,0.0,0.0,0.0,4.0,0.0,4,4,0.96,0.0,0.96,0.96,40051.5,9.192388155425117,40045.0,40058.0,17.508506230049534,3.541230858773258,15.004477876063902,20.012534584035166,0.38888888888888884,0.07856742013183862,0.3333333333333333,0.4444444444444444,1.0,0.0,True,True
svrpbench,continuous,0.0,0.0,0,0,11.0,0.0,11,11,51.5,9.192388155425117,45.0,58.0,0.0,0.0,0.0,0.0,4.0,0.0,4,4,0.96,0.0,0.96,0.96,40051.5,9.192388155425117,40045.0,40058.0,55.01326222898206,0.0031868991296103927,55.01100875099655,55.01551570696756,0.0,0.0,0.0,0.0,1.0,0.0,True,True
svrpbench,static,0.0,0.0,0,0,1.0,0.0,1,1,51.5,9.192388155425117,45.0,58.0,0.0,0.0,0.0,0.0,4.0,0.0,4,4,0.96,0.0,0.96,0.96,40051.5,9.192388155425117,40045.0,40058.0,4.999780270998599,8.317273079210623e-05,4.999721458996646,4.999839083000552,0.0,0.0,0.0,0.0,1.0,0.0,True,True
synthetic,aet_rag,42.0,0.0,42,42,3.0,0.0,3,3,2322.5,9.192388155425117,2316.0,2329.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0,1,0.99,0.014142135623730963,0.98,1.0,7602.0,7065.410957615983,2606.0,12598.0,15.002332104020752,0.0017413368058522565,15.001100792957004,15.0035634150845,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,1.0,0.0,True,True
synthetic,continuous,0.0,0.0,0,0,11.0,0.0,11,11,2337.0,29.698484809834994,2316.0,2358.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0,1,0.99,0.014142135623730963,0.98,1.0,7616.5,7085.917054270392,2606.0,12627.0,55.00833920846344,0.0008618451412901122,55.0077297919197,55.00894862500718,0.0,0.0,0.0,0.0,1.0,0.0,True,True
synthetic,static,0.0,0.0,0,0,1.0,0.0,1,1,2321.0,7.0710678118654755,2316.0,2326.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0,1,0.99,0.014142135623730963,0.98,1.0,7600.5,7063.2896372724235,2606.0,12595.0,5.0006288749864325,1.7854458700427484e-05,5.000616249977611,5.000641499995254,0.0,0.0,0.0,0.0,1.0,0.0,True,True
