event_id,trigger,solver_called
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0000,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0001,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0002,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0003,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0004,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0005,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0006,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0007,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0008,False,False
enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12_e0009,False,False
